,min,max,median,mean,std
ARI_action_0,-4.370000000000001,66.57887900355871,13.44470265866844,14.742235448612437,7.405181687840157
ARI_action_1,0.0,341.25593373493973,12.68532776424179,16.07347649585566,25.084597116647362
FleshReadingEase_action_0,-75.7233333333333,205.82,46.460894308943104,47.153377464674804,27.988590838752632
FleshReadingEase_action_1,-663.9728915662649,205.82,53.4948079249849,46.28608340010972,58.4742574583923
Kincaid_action_0,-15.2,49.57724199288256,11.500476190476192,11.983089379073814,6.095962457488483
Kincaid_action_1,-15.2,270.82632530120486,10.619107142857146,13.04260834692471,20.036956153417172
word_unique_action_0,0.0,385.0,94.0,119.68316831683168,89.8281210884036
word_unique_action_1,0.0,409.0,145.0,158.5888888888889,106.23669593796959
transition_words_action_0,0.0,20.0,4.0,4.600660066006601,3.4711106053240903
transition_words_action_1,0.0,18.0,4.0,5.411111111111111,3.956720632802762
summary_words_action_0,0.0,1.0,0.0,0.019801980198019802,0.1395497504252442
summary_words_action_1,0.0,1.0,0.0,0.007407407407407408,0.08590617310121898
active_verb_action_0,0.0,161.0,15.0,24.785478547854787,27.498889568526614
active_verb_action_1,0.0,182.0,25.5,40.22592592592593,39.56215844856969
word_count_action_0,0.0,951.0,138.0,202.0,190.36608162462286
word_count_action_1,0.0,908.0,210.0,299.8666666666667,253.26462643590293
sentence_count_action_0,0.0,57.0,6.0,9.709570957095709,9.831770747961846
sentence_count_action_1,0.0,79.0,10.0,15.233333333333333,15.101182897609814
keyword_title_cosine_action_0,0.0,1.0000000000000002,0.2233654665205497,0.24395393448702762,0.23560635935207228
keyword_title_cosine_action_1,0.0,1.0000000000000002,0.17455738015425615,0.21366853394871602,0.21191110874682634
keyword_decription_cosine_action_0,0.0,0.8172446587285709,0.0633446737033747,0.08554383758689166,0.09628268931894664
keyword_decription_cosine_action_1,0.0,0.5447395725649425,0.052425203173315255,0.0876643444322335,0.09876865753815939
channelSubscriberCount_action_0,0.0,11451418.0,21983.0,677116.6798679868,1903231.722661423
channelSubscriberCount_action_1,0.0,11451175.0,31059.0,727207.4777777778,1887888.6331735635
channelViewCount_action_0,239.0,4084334813.0,4059496.0,195425946.54455444,575870145.7158138
channelViewCount_action_1,217.0,8662169104.0,6267016.5,237376067.76666668,930126112.3873616
channelCommentCount_action_0,0.0,34661.0,0.0,664.2937293729373,3579.388217204703
channelCommentCount_action_1,0.0,62166.0,0.0,867.1703703703704,5037.657678461705
channelVideoCount_action_0,1.0,140109.0,529.0,6934.13201320132,19961.585689870382
channelVideoCount_action_1,1.0,109029.0,346.0,2647.074074074074,11617.84390552223
video_duration_action_0,61.0,4677.0,225.0,465.5181518151815,639.4704546871302
video_duration_action_1,60.0,6502.0,399.5,590.0777777777778,782.2848609001433
likeCount_action_0,0.0,252325.0,21.0,2758.3267326732675,16155.497722788921
likeCount_action_1,0.0,186797.0,130.5,4026.1925925925925,14897.763962853007
dislikeCount_action_0,0.0,18206.0,2.0,172.3861386138614,1236.5323547366393
dislikeCount_action_1,0.0,4791.0,6.0,155.51111111111112,550.9061527115259
viewCount_action_0,4.0,46618529.0,4701.0,391739.5808580858,2865579.2963920725
viewCount_action_1,7.0,7181902.0,21798.0,306595.14444444445,833975.8836151769
comment_title_cosine_action_0,0.0,9.750445273165072,0.0514738325813621,0.8234848979486517,1.527348612263161
comment_title_cosine_action_1,0.0,12.980845483969809,0.22645756050585253,1.1275806726146838,1.7901238720202062
comment_description_cosine_action_0,0.0,11.71140168082911,0.1820237049576442,1.5075167698616603,2.496027478612519
comment_description_cosine_action_1,0.0,14.730721892795724,0.5587314079918058,2.3253128056749657,3.2865922823476743
commentCount_action_0,0.0,16318.0,2.0,315.970297029703,1452.9766326893568
commentCount_action_1,0.0,19575.0,9.0,378.18888888888887,1649.8021818634163
postive_comment_count_action_0,0.0,90.0,1.0,13.013201320132014,21.32777525513405
postive_comment_count_action_1,0.0,83.0,4.0,17.637037037037036,23.111530911575073
negative_comment_count_action_0,0.0,46.0,0.0,4.900990099009901,9.626988433628979
negative_comment_count_action_1,0.0,53.0,1.0,6.214814814814815,9.783443403805608
neutral_comment_count_action_0,0.0,90.0,0.0,5.815181518151816,11.375826898845858
neutral_comment_count_action_1,0.0,70.0,1.0,6.803703703703704,10.47116705011605
comment_unique_words_action_0,0.0,5151.0,36.0,527.0,947.6595464057964
comment_unique_words_action_1,0.0,4618.0,122.0,743.4555555555555,1095.1323577161695
comment_total_words_action_0,0.0,7681.0,38.0,688.6798679867986,1299.854724367654
comment_total_words_action_1,0.0,6280.0,144.5,963.7888888888889,1466.6138160326811
