URL,Title,Misinformation ,Comment,,,,,
https://www.youtube.com/watch?v=sQ_BFNGg0CU,How Glitazones Work,Yes,Information outdated ,,,,,
https://www.youtube.com/watch?v=yvVYwkV1Buo,What is Persistent Diarrhea?,Yes,Video not available ,,,,,
https://www.youtube.com/watch?v=t9o7jGViy4w,DPP4 inhibitors - Overview,,,,,,,
https://www.youtube.com/watch?v=kvQkyNOv4Rs,Health Update (Beta Mix) - Captain Novolin,Yes ,Inappropriate video ,,,,,
https://www.youtube.com/watch?v=DUlLEmobwys,Active Kids. Active Adults. - Physical Activity,Yes ,No reference to diabetes.  ,,,,,
https://www.youtube.com/watch?v=0ttVVGfydkw,Heart Disease and Diabetes,Yes ,Video removed ,,,,,
https://www.youtube.com/watch?v=xQHL1JVl3bc,Find a diabetes self-management education program in your area,,,,,,,
https://www.youtube.com/watch?v=Jk5IXhB9ZXM,Diabetes Rx May Do Double Duty for Parkinson’s Disease,Yes ,Information outdated ,,,,,
https://www.youtube.com/watch?v=Vb-nz6op8yg,BMI Calculator For Women And Men & What is BMI ?,Yes ,No reference to diabetes ,,,,,
https://www.youtube.com/watch?v=kcuUcHU21Ik,Diabetes Basics: Hypoglycemia and Hyperglycemia,,,,,,,
https://www.youtube.com/watch?v=shsNVuFRKDo,Total Pancreatectomy with Autologous Islet Cell Transplant,Yes ,Video not available ,,,,,
https://www.youtube.com/watch?v=HMe6iDvwFUw,The Connection Between Melatonin and Type 2 Diabetes,,,,,,,
https://www.youtube.com/watch?v=4JLnkpdjoU8,Type 1 Diabetes and Viral Infections,Yes ,Poor conclusion from data presented.,,,,,
https://www.youtube.com/watch?v=6IulrGavrjM,Diabetes Foot Care: Screening - Risk Factors,,,,,,,
https://www.youtube.com/watch?v=0ju0YMLt2sc,Glycosuria (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=2OFHQnz9vSg,How to avoid Frequent Urination,Yes ,Video removed ,,,,,
https://www.youtube.com/watch?v=Y98ry3671Rg,What Is a Normal Blood Sugar Level,,,,,,,
https://www.youtube.com/watch?v=LI4AE9ys4eo,DPP4 Inhibitors is a Class of Medications that are Commonly Used to Treat Diabetes,,,,,,,
https://www.youtube.com/watch?v=87DX7150ovo,Popular Diabetes Rx May Have New Destination in the Body,Yes ,Information outdated ,,,,,
https://www.youtube.com/watch?v=M4BOOuJ2oiI,Polydipsia and Glycosuria (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=sCQmLYpXaYg,Coxiella burnetii-animated quick review,Yes ,Video removed ,,,,,
https://www.youtube.com/watch?v=lshzaYhtOyA,Blurred vision and Glycosuria (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=80lIWoGHNNA,Angela Mack; RD; LD; CD; CDE - Diabetes and Metabolism,Yes ,No reference to Diabetes and Metabolism ,,,,,
https://www.youtube.com/watch?v=dCpHGtG9AZ8,Study identifies genes that drive type 2 diabetes,,,,,,,
https://www.youtube.com/watch?v=4uQrCTkPrFU,Female Sexual Dysfunction Causes,Yes ,Video removed ,,,,,
https://www.youtube.com/watch?v=t1cZrBYbdYs,Diabetes (3/5): Oral Meds (Dirty Mnemonic) Pharmacology Insulin Resistance - Sulfonylurea; Biguanide,Yes ,Inappropriate video ,,,,,
https://www.youtube.com/watch?v=tGLEWEKHXFQ,Link between Diabetes & Heart Disease | Heart Disease,,,,,,,
https://www.youtube.com/watch?v=-s2qC5doR3,Glycosuria and Polyuria (Medical Symptom),Yes ,Video not available ,,,,,
https://www.youtube.com/watch?v=E3nTHnkZybk,Polydipsia; Blurred vision and Glycosuria (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=BZS0amkjOhI,Polyuria and Polyphagia (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=p1sEh1IUsKM,Fatigue and Glycosuria (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=imQ5qMqdoJM,FDA approves new diabetic insulin inhaler,Yes ,Information not up to date ,,,,,
https://www.youtube.com/watch?v=-tbK80HA5fw,Polydipsia; Glycosuria and Polyphagia (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=MatiZeIGpb0,Weekend House Call: Acanthosis nigricans,,,,,,,
https://www.youtube.com/watch?v=odKDsbjKWps,TZD Takes Everyone,Yes ,Toward Zero Deaths - not diabetes related ,,,,,
https://www.youtube.com/watch?v=UOvWr-vMO94,Polydipsia; Polyuria and Polyphagia (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=-sWQnJ5dMSM,Polydipsia; Glycosuria and Polyuria (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=nxS-LP1StvE,Fatigue; Polydipsia and Glycosuria (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=OgpVYTnsmuk,Blurred vision; Glycosuria and Polyuria (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=ECG6sZiJ3Jc,Glycosuria; Polyuria and Polyphagia (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=nyRrm-cCj9g,some important side effects of canagliflozin,,,,,,,
https://www.youtube.com/watch?v=VXQ0aQHe9VQ,Insulin Secretion Beta Cell - Diabetes,Yes ,Scientific video,,,,,
https://www.youtube.com/watch?v=pLrDuFCN3BI,Robin went off of all insulin and reduced eye pressure by 50% with Virta,Yes ,Video promotes ketogenic diet which may not be appropriate for all diabetic patients. ,diet program which may not be appropriate for diabetic patients. ,,,,
https://www.youtube.com/watch?v=0bRS-6GDLy4,Fatigue; Glycosuria and Polyuria (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=vfhreWZaLTs,Can Stem Cells Cure Blindness?,Yes ,No reference to diabetes ,,,,,
https://www.youtube.com/watch?v=2N64oGaFQCA,Diabetes Medication,,,,,,,
https://www.youtube.com/watch?v=xmJ3zYQhUuo,Federal Employee: Type 2 Diabetes and Prediabetes Fast Facts: Risk Factors,Yes ,No mention of Asian Americans ,,,,,
https://www.youtube.com/watch?v=QfE4CBG90tM,Type 2 Diabetes and Prediabetes Fast Facts: Risk Factors,Yes ,No mention of Asian Americans ,,,,,
https://www.youtube.com/watch?v=AJ9QNdP9fHk,Fatigue; Polydipsia and Blurred vision (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=G11lr2N7gjQ,Do you know the risk factors for prediabetes and type 2 diabetes?,,Fails to note Asian Americans in graphic ,,,,,
https://youtu.be/6lMJSzwffs4,Foods to Avoid after Bariatric Surgery | Obesity,Yes ,No reference to diabetes ,,,,,
https://www.youtube.com/watch?v=yUZno6t4mTg,What Is Diabulimia? | Eating Disorders,,,,,,,
https://www.youtube.com/watch?v=_L2dpW_bFRc,Metabolic Syndrome and Plant-Based Diets,,Only peripheral mention of diabetes ,,,,,
https://www.youtube.com/watch?v=Bkvp1kKQLcE,Control Your Blood Sugar Levels for Diabetic Peoples,Yes ,Video not available ,,,,,
https://www.youtube.com/watch?v=0Y4kAKn6bGc,Counting Carbohydrates Using a Food Label - Diabetes Center for Children at CHOP,,,,,,,
https://www.youtube.com/watch?v=Ika3dP47fAo,Home remedies for urinary tract infection or UTI (urine infection) without single penny,Yes ,Video not available ,,,,,
https://www.youtube.com/watch?v=yP9OxQM1wls,Glycemic Index Table-Glycemic Index Food List-Glycemic Index Weight Loss-G.I. Index,Yes ,No reference to diabetes ,,,,,
https://www.youtube.com/watch?v=PLPdAD15Ndg,What Causes Diabetic Foot Ulcers?,,,,,,,
https://www.youtube.com/watch?v=oCGgwc1Cb9A,Fatigue; Blurred vision and Polyuria (Medical Symptom),Yes ,Ad for Metformin?  No relevant information provided.  ,,,,,
https://www.youtube.com/watch?v=-J8UflGeY48,What Is Pancreatitis? | Stomach Problems,Yes ,No reference to diabetes ,,,,,
https://www.youtube.com/watch?v=4CBIYoDF288,No more Insulin Injections? Encapsulated Pancreatic Cells offer possible new Diabetes Treatment.,,,,,,,
https://www.youtube.com/watch?v=drDU7X4kAf8,Joslin Scientists Advance Understanding of Human Brown Adipose Tissue and Grow New Cells,,Only peripheral mention of diabetes ,,,,,
