commentCount,comment_description_cosine,comment_title_cosine,comment_total_words,comment_unique_words,dislikeCount,keyword,keyword_decription_cosine,keyword_title_cosine,likeCount,negative_comment_count,neutral_comment_count,postive_comment_count,rank,video_id,viewCount
0.0,0.0,0.0,0.0,0.0,1.0,abnormal fat metabolism,0.08716006456090106,0.09435229829136667,1.0,0.0,0.0,0.0,0.0,bJKCEKCOeTw,5726.0
4.0,0.0,0.0,5.0,5.0,14.0,abnormal fat metabolism,0.0,0.0,14.0,0.0,4.0,0.0,1.0,PBB4SHQHTbY,40836.0
6.0,0.491670648484288,0.12591944574553737,91.0,84.0,5.0,abnormal fat metabolism,0.0,0.16553265708348205,5.0,2.0,1.0,3.0,2.0,9zb0Oo0ryEI,29510.0
126.0,1.2718372853181088,0.8346092746590139,1346.0,1142.0,45.0,abnormal fat metabolism,0.0,0.20273527281081724,45.0,14.0,19.0,66.0,3.0,97uiV4RiSAY,462414.0
9.0,0.029804743772545807,0.0,63.0,59.0,3.0,abnormal fat metabolism,0.031814768366732735,0.0,3.0,0.0,2.0,7.0,4.0,m-PozFAV1xE,7263.0
387.0,5.56506419185722,1.1581766617654483,2172.0,1812.0,73.0,abnormal fat metabolism,0.009810370777846947,0.10722781127482103,73.0,17.0,23.0,60.0,5.0,kb146Y1igTQ,473337.0
628.0,8.626535826956577,4.756868128821746,3218.0,2476.0,142.0,abnormal fat metabolism,0.00716605846182796,0.0,142.0,25.0,25.0,50.0,6.0,epNcLy6knx4,650070.0
246.0,11.745718879071484,6.418221553956287,1936.0,1622.0,616.0,abnormal fat metabolism,0.01074540594356502,0.0,616.0,73.0,13.0,14.0,7.0,VOx8ikPmaos,753872.0
1.0,0.005205918681523053,0.0,6.0,6.0,1.0,abnormal fat metabolism,0.030350960540594486,0.0,1.0,0.0,0.0,1.0,8.0,LerY4Y1gz5E,249.0
1.0,0.15650710872284046,0.03918461513531269,12.0,12.0,0.0,abnormal fat metabolism,0.03920719141697729,0.0,0.0,0.0,0.0,1.0,9.0,2YVVfWIoHkw,232.0
0.0,0.0,0.0,0.0,0.0,1.0,abnormal fat metabolism,0.0,0.15250987668359506,1.0,0.0,0.0,0.0,10.0,8o4YR5jh2K4,2060.0
87.0,2.4448009177534855,0.5761259442598698,587.0,513.0,8.0,abnormal fat metabolism,0.0579483524075527,0.13949104151677452,8.0,1.0,6.0,36.0,11.0,9zxzuy2Y4SU,22555.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal fat metabolism,0.03311814922901232,0.23506025842643644,0.0,0.0,0.0,0.0,12.0,Qs6jGnzaEzM,73.0
