,video_id,ari,kincaid,flesch
0,sQ_BFNGg0CU,7.475,10.35,31.545
1,yvVYwkV1Buo,10.70796228,9.440338253,54.19567753
2,t9o7jGViy4w,15.53571429,15.63809524,20.34857143
3,kvQkyNOv4Rs,17.156,9.926666667,50.61
4,DUlLEmobwys,7.623653846,7.860769231,61.85923077
5,0ttVVGfydkw,9.5295,6.96,80.785
6,xQHL1JVl3bc,18.71965116,17.02005814,30.47799419
7,Jk5IXhB9ZXM,19.34956007,17.10129442,30.93454738
8,Vb-nz6op8yg,8.238727273,6.077272727,90.67590909
9,kcuUcHU21Ik,10.475,11.215,36.03
10,shsNVuFRKDo,13.86807692,11.9875,38.06125
11,HMe6iDvwFUw,11.963,10.795,53.29
12,4JLnkpdjoU8,15.79873913,14.09206522,45.2363587
13,6IulrGavrjM,10.61727273,8.009090909,57.23363636
14,0ju0YMLt2sc,14.23068966,13.43967816,29.69813793
15,2OFHQnz9vSg,263.0812577,211.5389691,-557.7298969
16,Y98ry3671Rg,12.27880952,10.81571429,49.57928571
17,LI4AE9ys4eo,21.44967914,18.74680214,27.27079144
18,87DX7150ovo,32.58172414,27.78172414,-0.814310345
19,M4BOOuJ2oiI,15.66877551,14.3295102,27.23691837
20,lshzaYhtOyA,15.41382353,13.99933333,31.029
21,80lIWoGHNNA,16.67125,14.42,34.425
22,dCpHGtG9AZ8,23.5801,19.244,28.337
23,4uQrCTkPrFU,13.69176075,13.07657482,32.36819556
24,t1cZrBYbdYs,11.199375,9.825,53.12
25,#NAME?,16.33136364,15.51727273,22.99590909
26,E3nTHnkZybk,16.8525,14.95492857,27.74007143
27,BZS0amkjOhI,16.82256881,16.07897248,18.61258716
28,p1sEh1IUsKM,15.93567568,14.54187387,30.34524324
29,imQ5qMqdoJM,9.234705882,8.74,62.68
30,#NAME?,17.77552632,16.48796491,17.46142105
31,MatiZeIGpb0,17.11083333,12.87222222,66.895
32,odKDsbjKWps,11.60777778,9.799259259,72.89666667
33,UOvWr-vMO94,18.17588235,16.89536134,16.32169748
34,#NAME?,17.731,16.38666667,20.325
35,nxS-LP1StvE,17.37297521,15.49758678,27.05547107
36,OgpVYTnsmuk,17.59669355,16.15941935,23.37912903
37,ECG6sZiJ3Jc,18.45809524,17.55704762,14.07128571
38,nyRrm-cCj9g,23.441875,25.23666667,-43.125
39,VXQ0aQHe9VQ,12.74741248,11.50789954,41.45026636
40,pLrDuFCN3BI,25.15348837,21.76139535,15.63186047
41,0bRS-6GDLy4,18.18225564,16.69828571,22.72171429
42,2N64oGaFQCA,12.48428571,13.47,23.425
43,xmJ3zYQhUuo,14.2432,12.2848,51.5144
44,QfE4CBG90tM,14.2432,12.2848,51.5144
45,AJ9QNdP9fHk,16.91364407,14.514,33.03862712
46,G11lr2N7gjQ,7.115284553,9.022926829,54.71455285
47,6lMJSzwffs4,12.32581626,10.64176697,64.75137644
48,yUZno6t4mTg,14.10705179,12.76872112,48.22304183
49,_L2dpW_bFRc,17.4821875,13.17645833,57.589375
50,Bkvp1kKQLcE,12.98689448,11.44756598,50.27762563
51,0Y4kAKn6bGc,12.73591837,11.54459184,55.93076531
52,Ika3dP47fAo,89.81664596,74.40962733,-151.6591925
53,yP9OxQM1wls,23.89594765,19.93757671,13.79098601
54,PLPdAD15Ndg,20.4927027,18.29405405,29.80432432
55,oCGgwc1Cb9A,17.72861538,15.79,28.165
56,#NAME?,10.82495238,9.419183673,56.62319728
57,4CBIYoDF288,21.19676056,17.64467136,31.78841549
58,drDU7X4kAf8,25.14828947,18.94842105,26.89394737
59,FnIf3OPDBFM,14.33673913,12.61913043,45.55521739
60,PuF0aJS_qaw,32.81085714,26.3497619,-0.343928571
61,V9FDxlZ_sik,22.44714286,20.17571429,25.21928571
62,0phXsBQW48M,15.5343,13.14133333,54.279
63,LMvNeaUMRlw,13.28662765,11.96562709,53.65428233
64,OaxRva_GajU,30.28567308,23.76074359,35.85092308
65,WGw-7Y0xEV0,13.31265306,11.78540816,54.20423469
66,asTNBEltQQc,26.96005814,23.41553488,-11.54495349
67,Wd5Qmjt3egI,5.707,3.65,86.705
68,QfRpnA3CKos,19.97090909,19.9869697,-9.049545455
69,sBx5OHKW2nM,14.3462069,11.58896552,63.62758621
70,RABThDFW000,15.31953517,11.71796517,55.99740025
71,Lq2taGJseak,17.32758772,14.47421053,36.41114035
72,xuNEnhCZFLo,11.45117647,8.392941176,65.16823529
73,40UJSG_B5vA,37.31066165,33.41266917,-26.04595865
74,8CBC8vf8K_s,11.09711009,10.50374312,58.58414679
75,1Zsyast6s9Y,10.51427929,9.121833028,66.64777537
76,Yhn2qguQfUM,17.28205128,15.42147009,26.17630769
77,sQ-0RkPu35o,12.14785714,14.31285714,17.38214286
78,GZdmuwRYNAs,13.10551724,9.596034483,52.08991379
79,x93I3a30FEg,6.475,-2.23,118.175
80,ZCpSiSS0Yv4,18.65470588,14.64,20.38
81,oIyXFT6YGBE,7.895384615,5.818461538,76.50153846
82,Q4p6Suko25A,15.64490385,13.73930769,33.60569231
83,LedWl2QTy40,31.87490737,27.48874623,0.476600603
84,JHgUzLCWqvw,0,0,0
85,QMzNnvkYOF0,11.12421053,9.209473684,62.87631579
86,ufCiGz75DAk,15.68735931,13.80571429,41.79761905
87,DBXgnMfVFzI,11.94714286,11.42380952,50.56285714
88,7QL2CaJFn_k,7.6525,3.67,75.875
89,29KdXZH0niA,11.74394737,9.830526316,58.42368421
90,SA-sug6P0fM,16.07825243,14.78380583,25.76095146
91,u3QmJbB9lvk,33.96416667,28.01804348,3.428405797
92,nDxfxIaRfQ4,13.90426129,12.81235857,47.85929487
93,nSwBbPUUduQ,13.50397436,13.18153846,31.43012821
94,jvg8EmtWF78,8.986,8.092142857,68.21535714
95,m3xKf7bNQ0Q,10.32563291,8.692246835,67.92039557
96,wP3Bra09rcQ,10.84877193,9.934035088,57.68157895
97,Ef-NZtTVSMM,12.55941176,9.781176471,55.21529412
98,f4D5IgUYn3w,16.31906393,13.74178082,39.88118721
99,Rg-ao84fnrw,31.81924528,27.78943396,-9.77509434
100,ScjyYj7UdsM,-4.37,-5.524444444,150.7
101,nTQcW7frfSw,4.722857143,3.997142857,78.87285714
102,usIZ0YSQFD0,20.55142336,17.57771898,30.04205292
103,aVWZDhk-DVU,12.96769231,12.17230769,30.94769231
104,ItjPn8WxVSA,7.905454545,6.936363636,64.92454545
105,Ex5_Z-DpJ0A,24.40084034,19.80196078,43.92882353
106,J4AacdAkP08,10.20731665,8.204052344,70.55338654
107,IVz7xJxHOjk,10.94090909,11.22681818,43.96022727
108,Grw7zvY9gY8,9.900457356,8.196682697,70.60214741
109,KtT7zvYJekA,25.14281818,20.23568182,23.45352273
110,jPrElTL3rrA,19.76181818,16.94666667,32.34
111,QFc-5oXgbYY,25.14731707,21.98536585,10.46390244
112,IkoC3HZwe7Q,12.68972789,11.24938776,43.50156463
113,mco8vQPhFho,23.54969325,19.45035276,28.1933819
114,JNUmKulUWec,13.85192308,12.25,53.545
115,49OlI6LmMDU,20.35910256,16.42423077,39.05410256
116,HvcQdJcN6mk,10.46571429,10.94142857,41.55357143
117,XeZgKLfIJn4,5.813787879,6.220909091,76.58469697
118,H-8wC490oEs,14.1235,12.6275,33.0275
119,oj0pjco--Yw,14.64771739,13.9033913,28.15465217
120,Wa7yYFPVb6o,18.69136364,17.12545455,31.05818182
121,LCdTfQXDK34,27.52755424,22.36934911,35.02116371
122,8hnvY6_Jpvg,9.677882864,8.826424548,63.16862099
123,l_9vgXkmVnk,10.79138211,10.17414634,46.46089431
124,3NRpp1pBN2E,0,0,0
125,K4SOS9okas4,10.50447368,9.52,60.65
126,7Au-MRjoHYQ,10.75852941,10.12823529,52.72705882
127,UeXD730uIII,9.718064516,8.345322581,62.83798387
128,bhOF3Kx8CEQ,9.236875,10.07083333,51.3575
129,99CLGZNuFqE,10.13263158,9.209473684,62.87631579
130,auIwEV1SiBQ,16.649,14.99,41.025
131,k22zlWRzbk0,13.17227273,13.06555195,35.67547078
132,QTKS0AUbEao,65.5538914,52.49323529,-84.47544118
133,U3z9nMMklFw,13.28735842,12.86848739,36.53827731
134,mbD2oAjPU0c,10.44386364,10.15363636,61.45045455
135,7VQfOt_2XG4,15.4794802,13.33027228,44.46417079
136,WjyQTmJBXFg,10.272,9.96,32.56
137,Uk6U9ROn_MU,10.85813346,9.70819169,60.38921231
138,1C2WpZA_L4E,10.16333333,9.43,39.32833333
139,JJoyWK58CvY,16.08210526,17.28315789,4.992105263
140,kDF2-ScA5gw,8.763297123,7.582977099,76.59258661
141,rDoCCS-fBls,13.9592414,11.81318028,55.67490556
142,JqJaVvLO748,9.932621704,9.262782285,65.11338742
143,DghH1bas9SQ,18.21813233,15.43042714,43.50751675
144,povArl9xZSg,13.52666667,12.42148148,54.09666667
145,Sev0xmmU6LI,13.58165254,13.00541667,41.22727754
146,_f-KFSSzzlk,11.49588539,11.36242729,44.2210493
147,iUK-odLKD-k,18.04,16.71076923,-1.590769231
148,CJu37EU9qEk,11.04545455,13.37272727,18.77909091
149,zLbAxztnnfE,27.07284568,23.30740286,-5.042774894
150,f6HtqolhKqo,12.0783871,12.09195699,41.49793548
151,e8c5AZFKsJ4,17.83327869,14.48860656,45.51028689
152,EO-tN64_IvY,8.646431393,9.203732097,54.68483222
153,wH6aT1GzY6w,19.88052632,17.24052632,39.13868421
154,dPomv-2PEeo,114.055267,93.94898911,-196.7543909
155,_P7nLJWuvks,22.18358974,17.77384615,37.09615385
156,3R6gfAa2w8w,14.67736842,14.79894737,22.80263158
157,fIsuxH01R90,111.7024299,91.41485981,-179.1796729
158,UTuF58aK5po,7.6525,3.67,75.875
159,zsVRO4IZoFw,25.12953917,22.34398771,12.16741014
160,mLmKq5bQOg0,10.09563452,9.783811168,52.98783858
161,ayuVb9-nFVo,15.09761398,11.26620061,62.125
162,dKYxRDO2G_0,5.761950854,5.124789554,90.72955798
163,1EEJ1Hm66mg,15.92638614,14.00205446,39.64783416
164,VJgnv314808,13.03711286,11.06185039,53.45477034
165,wvMoHXD3agg,21.21023256,13.80325581,72.68767442
166,YICvHsKmjzY,14.4686646,12.8768323,37.85543478
167,p0VF1FjLt-U,10.475,8.756666667,53.655
168,18japm2PugI,14.40138655,13.73319328,39.85794118
169,nMoJ7TZN7l8,18.49531498,15.52778947,48.81498785
170,EipqFlmxCkM,23.36,19.31403185,40.4807293
171,nJfB32MtqBA,14.37919969,11.56610723,40.43924631
172,wbShOXhO6p8,17.63392857,14.8,38.825
173,#NAME?,20.79609677,18.02185484,34.87278226
174,IVH_6ciQfZk,18.78356242,17.12005464,22.46540353
175,a58oCExOxpw,7.298571429,6.930349206,67.81742857
176,GDlPAQakzo4,16.23346154,14.26871795,35.50961538
177,KReNoBISy3A,0,0,0
178,cmUXo4Crrm0,9.884736842,9.830526316,58.42368421
179,numUKaH34rQ,9.681075141,7.442548263,77.1883665
180,TBv3xQUGsXA,12.35589002,11.73155412,50.70003972
181,pD7YdUdEHdw,5.05,10.20888889,37.9
182,HGuGIM54pK4,14.65073276,13.54715517,49.58836207
183,EAuf42kd8Aw,10.10742857,7.642619048,71.43821429
184,hfLn2N8KepM,8.679340824,-2.168146067,137.0268071
185,52sEiZzYP0I,7.145714286,3.676428571,87.40607143
186,8dgoeYPoE-0,11.34904762,8.895238095,68.69142857
187,nmWtsPzd-GQ,12.83316327,12.40297959,41.04916327
188,nSuBzZR6llY,19.38575556,16.31264815,38.22141667
189,87TCC0iWB3Q,26.84281385,22.13866522,24.50418831
190,xlxVZhjfo6s,24.934,20.57777778,27.68
191,Lv4r-P6H7bU,13.23369329,11.40348706,67.16254593
192,AssXudMGZ8A,19.68696912,15.22158548,54.99876472
193,OMn8Tq5Eyao,12.63848485,10.48755556,55.138
194,tTM1oaEWoEc,6.944666193,6.002869318,72.75065341
195,a4gT5s-SXSc,20.37782609,18.00608696,6.933478261
196,YtrM9STzEjo,12.8130569,11.81580952,46.37842373
197,IMPzAdVOhKY,11.75189189,11.71689189,44.00885135
198,t32eoUB42rw,10.83773748,9.490192555,57.77021181
199,KJDNHjJgbD8,10.99413793,11.22362069,40.42094828
200,_1uqL32ASRE,7.640318366,7.176407915,62.87371639
201,_JfEDVR5er0,13.16306444,12.08077718,48.57125676
202,RQCq-FzeYgA,11.07255435,10.11969565,55.28182609
203,fUkKK1BvPvg,11.003125,6.875,74.27
204,S09YWIykt2Y,26.26897337,21.84502062,30.5872646
205,sRxqRU6CCJA,20.99872549,17.74089869,35.99654412
206,_9hPFlSnnNk,11.77253731,11.47480597,36.66086567
207,XK0r8kINlTw,20.1767573,19.75418475,12.77397605
208,i90i0YXq5aA,12.11153846,10.16884615,56.88865385
209,9mp8YkNqbBE,3.78546875,3.6910625,91.3976875
210,XfyGv-xwjlI,12.40987952,12.12177711,45.11350904
211,qvhHhDNjtxM,18.97506667,15.11,46.10166667
212,9A3gDnv56bs,18.97360704,16.93372434,28.87058651
213,Pdec8clsV7Q,9.39021978,5.955921856,82.13153846
214,B6jI_B8ExIs,9.021965484,8.200982742,55.22176174
215,qG3OyONVbEQ,10.00212121,10.65454545,51.32848485
216,MMwdz1kLsFU,12.05473333,9.554,56.25033333
217,sT5SmIM60zo,19.50037208,16.85197496,26.41833806
218,VLOKMjHEyhY,16.40365591,11.88290323,46.67768817
219,St9r4pc2QmE,12.02190476,10.58095238,56.60571429
220,32F2hQTncQ0,11.32278177,10.33818467,58.72120413
221,9ccIlIId_R0,16.83655172,14.43724138,43.20689655
222,9IaRuSxJO-8,9.859221502,8.441070576,70.08166269
223,w7Nq9uQJOXE,16.94482759,14.43724138,43.20689655
224,UtLtPgYc0mk,9.75969261,7.589980379,63.1529758
225,#NAME?,16.45758621,12.67402299,55.84827586
226,JkgXZ5EPwDA,8.984285714,9.054285714,42.61571429
227,hhWGKAcHbO8,16.50012438,14.88197761,38.08883706
228,froHNJMELT0,4.849166667,5.151111111,79.505
229,#NAME?,9.960549828,11.03046392,44.77428694
230,eawWLRnX_gc,19.65172414,15.65793103,34.45517241
231,J1TorkgpgY0,13.00950542,11.22262286,61.47748587
232,hv0bBW_Ah0Y,14.97715686,13.20588235,40.75480392
233,gGeLxjgUNG4,13.14217391,12.70463768,44.94217391
234,vhF1aEOaIzw,17.10572727,14.91848485,41.53772727
235,Ows34T0UjsM,6.455531561,4.980498339,81.23709302
236,HRTKfRXwBTg,16.73260417,14.98088889,38.953
237,X_e8bXcS1BA,15.98572464,12.4026087,60.76268116
238,qYBou4o9vNI,9.288333333,7.163333333,75.765
239,JMknA_CCnW4,18.79198718,14.42042735,61.13846154
240,Gfr364SyQcg,20.47001545,17.23280671,38.22251986
241,910K7B_1b6I,15.90795918,14.43438776,35.21239796
242,Aoy3ZCZwbeo,16.42377305,14.30489362,48.31166667
243,MsGmoVknaZQ,18.60095238,16.57460317,13.63428571
244,bbqOggZHtaM,10.32022704,9.028433437,68.6864066
245,hkrK-vg7KD4,24.69094796,22.76587699,-8.010700894
246,mjnseqLiVXM,14.13523303,11.08941176,70.03794118
247,TJ7EagZKN5w,14.61683853,12.60652157,57.1871555
248,jwD7bJrYH6U,11.76635,10.637025,60.5451375
249,imZwSsB6eGo,33.79683298,29.56097252,-12.43718816
250,ayd0yO-yNZ4,12.40689362,10.89840426,58.7825
251,1WrdzNJ4A44,10.82056243,9.882564679,56.52393701
252,L77b57erQ4M,26.44063116,19.92556213,52.54187377
253,Ab9OZsDECZw,7.097183099,6.401521127,74.45861972
254,geO2L3fzF5g,27.82468085,24.08042553,6.13
255,QSXWXPWUWEc,9.384784236,8.194778325,73.20448276
256,596LMJTJFsk,10.8675,11.70666667,32.505
257,F8UGIKR3okA,18.20589147,16.72023256,26.24531008
258,Op8K7yresDs,20.11382263,14.49376147,55.86308869
259,dpNpHXB52ak,17.17545455,16.51812121,23.65718182
260,xchGJ4UxCPE,8.881458774,8.902542072,64.93437125
261,eOhz3cGmlaw,11.62731129,10.18420561,51.36672538
262,FkkK5lTmBYQ,11.74471429,10.115,53.7125
263,nTyL81Ls3ys,12.01561634,12.61743023,35.29987954
264,lEutFrar1dI,9.971065197,9.547548209,50.55748393
265,74s6eiBBBFU,13.72519557,11.12159046,56.53469503
266,_KndwmMEwXA,18.09544251,16.49581882,28.95682927
267,e_oUWPdb9xM,20.04080504,18.24322014,26.35213115
268,LvaVsnHbIbI,16.51133808,12.70564371,53.95920982
269,ISn43u0BiEo,24.9534,20.35133333,38.209
270,AoHvkrcr6EM,13.16908193,10.36518938,64.89536744
271,Usnu2ySuhcU,13.63365854,13.12695122,37.46164634
272,WYa2xthIbDc,18.60632316,16.45401059,25.417801
273,9iMGFqMmUFs,7.499237288,8.9625,57.07730932
274,7-cGz2eLyb4,7.940591065,6.261804124,78.96315292
275,oozg7j3qpEY,4.985588235,5.347205882,79.43492647
276,Aw8hufhIDu0,16.92871658,13.8871123,56.0565508
277,BFUis11qaQU,8.729118951,8.167530364,62.09720648
278,8nEmsR68FhA,16.44350386,13.52891409,55.73035956
279,341CnFGQwH4,13.68056911,11.16308943,63.71239837
280,1p1cMFscF8s,16.28925729,14.84015426,26.41192203
281,z_3S2_41_FE,11.67400901,10.45432432,64.04427928
282,53WxEvd7-_w,21.41015291,18.60752294,26.3695107
283,iGK0rHkOoVA,57.24845455,44.15181818,-25.56227273
284,s3wUYhJmdbA,17.38148958,15.0175,34.89083333
285,-32U9eU1hdM,16.00836066,14.83341639,27.82756721
286,RV_lBWGgK1o,22.14074848,19.02345324,34.85048976
287,#NAME?,20.37952555,17.92224453,27.57197993
288,#NAME?,9.514210526,11.09394737,32.44513158
289,Oyy-3yAwcvo,11.11540541,10.44121622,53.1547973
290,BF7N0LPdItk,18.67571429,16.2,16.32
291,VAweyqtb7D8,16.88730469,13.43765625,55.71671875
292,L-a-dKhuYj8,19.04601504,16.00907895,39.50730263
293,pgUA4ScsRWQ,10.07028274,7.934,64.77766667
294,fRZduVxlP_U,25.31518519,21.08827984,30.43192593
295,qFFPcIcAUUs,17.66333333,14.60735669,36.94080149
296,Bkji1VNnolA,13.20931034,12.26712644,58.76551724
297,wbWL2wfvsM8,14.15471115,13.40530228,31.82284819
298,It6Eblem5Zg,8.342926509,7.320299213,72.73979265
299,uia5mqvTeh4,15.3342381,12.55857143,46.58309524
300,MdXWF-vvQMc,5.236,-9.92,183.995
301,X2rOWkOcq9I,15.14153846,13.53384615,21.18615385
302,afYCN3Upy_w,10.92968992,8.934883721,56.53317829
303,VXFRWFHx6tA,15.30570631,12.00820771,48.35202122
304,2YVVfWIoHkw,14.78803306,12.90135852,46.43779352
305,MFmjLloYN7A,14.7222807,12.0585942,51.63630547
306,InH8t0UNs4k,12.8996631,11.21858259,59.00375825
307,W_evi9lanBY,0,0,0
308,Mj0T_byeKtQ,14.00605691,12.33829268,55.28678862
309,orqdxsg-Dr4,16.80655902,14.20461361,50.41592464
310,mRVZ9lkubag,14.59748031,12.99159055,47.15951181
311,HOwqo56BKQU,17.68939751,14.49783104,51.55926785
312,WBjchfwi1jA,12.87,11.45546512,51.22645349
313,tpPGevlDwWQ,60.27649598,50.21036145,-67.81154618
314,fHui_Q6ld10,10.99146341,9.961097561,60.15920732
315,6t4tBmbPko8,16.8302381,13.59190476,47.48642857
316,8ZujKJYrEJY,4.772108369,3.383366416,96.7429037
317,cW1V2_GTAlc,19.47432432,15.7427027,48.09621622
318,T9wPrmfQ0vw,18.80300064,16.91212989,42.87842089
319,xJBqbv8GRZ4,8.648636364,6.453454545,72.30518182
320,wjIp17OaN_k,5.531047619,4.805714286,81.38761905
321,BzP4b1b-RPs,13.1,10.80416667,48.32625
322,ux-A-WUMTjY,18.61559406,15.28720297,30.43397277
323,DyGIvs9zrVA,14.05354839,14.24894624,26.03341935
324,prFYht1NwmU,11.45625,10.72333333,39.555
325,bBZXkNbpOGQ,12.50875887,12.11148936,36.13333333
326,RudR2_VVoaw,12.55576881,10.89483097,50.28427481
327,wch09JVlXKg,13.55095791,11.09339623,59.0971045
328,jDYm0i5zT68,10.07590909,9.045878788,53.71881818
329,L1qDCZsqxxc,11.59894155,9.927618894,54.21934919
330,sLn6OoH12uY,9.620199387,8.137845092,73.00836273
331,S-3nfpc_GiQ,12.63500017,10.73476339,66.72930549
332,aC0_yOlfY4U,11.53954515,9.523043478,58.29904682
333,5SZCajunA-0,10.80518847,10.75228574,50.94630772
334,KWBjfoioS20,15.9121875,11.64,68.605
335,lOeQLJCVOdM,3.185384615,3.095384615,96.02461538
336,weZZT8U9NGQ,12.55385084,11.34625571,42.60917047
337,US5aP7qT36M,12.45742397,10.9676093,56.25587907
338,zD9aXZY0pdY,12.3555,10.01727273,58.86590909
339,MOH33-jFOwo,11.12,12.40777778,38.165
340,2KnD9MzCzsM,11.54905125,10.19223555,55.32152672
341,LuJd0z1JAU4,14.13301339,13.66642857,29.65
342,_cu7Xt4wb1M,18.9,15.07619048,24.37714286
343,P_NoKv4kr64,16.25274373,14.37117647,43.26952489
344,rTbIazck7rk,13.89072727,11.06545455,54.91318182
345,UDuGJHbAIbE,22.30022727,17.12454545,50.65681818
346,KiouveG278Y,14.30854241,12.24686643,36.24220416
347,r8avZUjw_zI,38.46015082,32.06601234,-13.05154822
348,vzA7Dj1pCOg,16.88608108,15.00547297,36.90658784
349,Vujm4opryN8,5.716244508,5.347999483,81.25234557
350,J97G6BeYW0I,13.41654545,11.3569697,40.35545455
351,LerY4Y1gz5E,16.12010833,14.37364233,43.59925863
352,k_wNE4erBLU,8.949122807,7.360526316,64.85201754
353,Md7PssTAvz8,10.97914644,9.634101335,67.07919283
354,kuR_Lwcp67U,25.72141808,21.785,26.44608757
355,t0JF2Gbv1XQ,12.84545918,11.48373299,45.45784439
356,ZfSlQJk59Ng,14.54036842,11.86934211,52.26664474
357,_VuxMIc3fOA,28.00655418,22.30316804,30.94394399
358,IpPHCLrEmSI,40.5195,35.34333333,-51.465
359,tbMzKylq9Bc,22.615,17.35,24.105
360,PUQFQVm96YM,12.73882075,9.824143082,60.02791274
361,xdVJkkCquHs,14.47535616,12.07767832,60.0577972
362,5I-Wr_s00aU,14.59275,14.63,25.795
363,3jSCSq9bKwI,16.07827434,14.74608407,39.65682522
364,8mOjYFwmgxk,11.34937359,9.178462522,72.75107214
365,n4hTBVFyyKs,15.58812349,11.98393825,55.34120858
366,8gAO1wfdHnc,11.50623054,8.582849024,73.46213862
367,XFxMOiJRZQg,10.46899596,8.008571429,62.66548023
368,xNf--q0YMq8,14.37919969,11.56610723,40.43924631
369,diG519dFVNs,11.53097484,9.111320755,61.20522013
370,6HJfr00CIqM,11.51253084,10.72558801,49.75673434
371,XOZ-Yco3Ykw,21.504,17.78285714,29.90714286
372,epNcLy6knx4,16.81489655,12.94528736,53.90344828
373,D8K8MkKHJoc,15.61407895,13.22893801,48.94881053
374,gQBkfKUxh_E,11.82659946,10.91543011,53.61397849
375,loUuq7rPTH0,6.943015832,5.852088866,81.92758938
376,NsISWyyuf80,18.80163073,17.89995617,23.56941891
