,min,max,median,mean,std
ARI_action_0,-4.370000000000001,398.2161160151324,13.485684662667552,15.93374977762391,22.468523018788364
ARI_action_1,0.0,341.25593373493973,12.54489130434782,15.7256956800038,24.236047014383466
FleshReadingEase_action_0,-742.5094325346784,205.82,46.3560928763967,44.64132882930334,51.60501014055498
FleshReadingEase_action_1,-663.9728915662649,205.82,54.37506802721091,46.94011892693338,56.77582083625445
Kincaid_action_0,-15.2,313.82779319041623,11.505112567577576,12.923288696480757,17.75906367566996
Kincaid_action_1,-15.2,270.82632530120486,10.550645161290324,12.785819315083307,19.357876070213543
word_unique_action_0,0.0,385.0,95.0,120.4420731707317,90.25754687990087
word_unique_action_1,0.0,409.0,142.0,158.70790378006873,107.22397074736641
transition_words_action_0,0.0,20.0,4.0,4.588414634146342,3.4735505527099604
transition_words_action_1,0.0,18.0,4.0,5.484536082474227,4.0788269156923445
summary_words_action_0,0.0,1.0,0.0,0.021341463414634148,0.14474072312228498
summary_words_action_1,0.0,1.0,0.0,0.010309278350515464,0.10118389140141132
active_verb_action_0,0.0,161.0,15.5,24.972560975609756,28.00353587595509
active_verb_action_1,0.0,182.0,25.0,40.446735395189,40.06597681233161
word_count_action_0,0.0,951.0,138.5,205.28048780487805,194.43664561855192
word_count_action_1,0.0,908.0,206.0,300.1993127147766,254.908546412255
sentence_count_action_0,0.0,57.0,6.0,9.689024390243903,9.824807969861968
sentence_count_action_1,0.0,79.0,10.0,15.243986254295532,15.055034325359122
keyword_title_cosine_action_0,0.0,1.0000000000000002,0.2116084015400505,0.23894652302680697,0.23343826236390403
keyword_title_cosine_action_1,0.0,1.0000000000000002,0.1767570190790658,0.21498338692269706,0.2107674860033495
keyword_decription_cosine_action_0,0.0,0.8172446587285709,0.06268388219854396,0.08501870773282473,0.09610271420498588
keyword_decription_cosine_action_1,0.0,0.5447395725649425,0.0549271751451774,0.08730255615241833,0.09758480629793903
channelSubscriberCount_action_0,0.0,11451418.0,21993.5,692766.6829268293,1912570.6782508446
channelSubscriberCount_action_1,0.0,11451281.0,32144.0,751343.0927835051,1953977.3847907851
channelViewCount_action_0,239.0,4084334813.0,4160848.0,199136196.87804878,582135866.4940542
channelViewCount_action_1,217.0,8662169104.0,6420389.0,237523131.06185567,907754612.926417
channelCommentCount_action_0,0.0,34661.0,0.0,647.7774390243902,3455.6450270190685
channelCommentCount_action_1,0.0,62166.0,0.0,893.1580756013745,5003.390521032756
channelVideoCount_action_0,1.0,140109.0,546.5,6586.048780487805,19266.10491201565
channelVideoCount_action_1,1.0,109029.0,346.0,2932.7938144329896,12827.279031172113
video_duration_action_0,60.0,4677.0,225.5,457.5182926829268,626.9202913067355
video_duration_action_1,60.0,6502.0,403.0,596.53264604811,780.0663951402548
likeCount_action_0,0.0,252325.0,21.5,2834.8506097560976,15762.190031406706
likeCount_action_1,0.0,186797.0,136.0,3894.230240549828,14440.999631267037
dislikeCount_action_0,0.0,18206.0,2.0,168.390243902439,1191.5008319615551
dislikeCount_action_1,0.0,4791.0,6.0,149.5979381443299,533.0220217963532
viewCount_action_0,4.0,46618529.0,4611.0,390693.0426829268,2766015.8269290994
viewCount_action_1,7.0,7181902.0,21839.0,295128.0446735395,807479.5870593549
comment_title_cosine_action_0,0.0,9.750445273165072,0.052242616693638305,0.8093661803350265,1.5005134064970476
comment_title_cosine_action_1,0.0,12.980845483969809,0.2607451629470814,1.191805870490287,1.8874771163263142
comment_description_cosine_action_0,0.0,11.71140168082911,0.18586960184605275,1.4936800138360538,2.480590318386682
comment_description_cosine_action_1,0.0,14.730721892795724,0.5888528618981141,2.4274244183347076,3.4570496995057995
commentCount_action_0,0.0,16318.0,3.0,341.7865853658537,1499.1247528645845
commentCount_action_1,0.0,19575.0,9.0,364.03092783505156,1592.2420461484269
postive_comment_count_action_0,0.0,90.0,1.0,12.878048780487806,21.071534050738588
postive_comment_count_action_1,0.0,83.0,4.0,17.70790378006873,22.979013800550323
negative_comment_count_action_0,0.0,46.0,0.0,4.948170731707317,9.57572729449142
negative_comment_count_action_1,0.0,53.0,1.0,6.515463917525773,10.153083515378237
neutral_comment_count_action_0,0.0,90.0,0.0,6.0426829268292686,11.662087669210687
neutral_comment_count_action_1,0.0,70.0,1.0,6.783505154639175,10.31894154301093
comment_unique_words_action_0,0.0,5151.0,37.5,518.6371951219512,927.6488939337843
comment_unique_words_action_1,0.0,4618.0,123.0,761.4432989690722,1109.591804121636
comment_total_words_action_0,0.0,7681.0,40.0,674.6189024390244,1267.7050966682548
comment_total_words_action_1,0.0,6280.0,145.0,990.0584192439862,1490.017264430034
