,min,max,median,mean,std
ARI,-16.22,398.2161160151324,11.03558823529412,12.35762724089133,15.412000159107214
FleshReadingEase,-1147.78,205.82,50.31965384615386,50.642655532597956,55.84742709354051
Kincaid,-15.2,313.82779319041623,9.48725806451613,9.460178271683532,13.133026595838887
word_unique,0.0,718.0,38.0,79.81334374651344,97.62648209963866
transition_words,0.0,22.0,2.0,2.9472274907954925,3.4882728039825164
summary_words,0.0,2.0,0.0,0.009371862099743389,0.0997725395589181
active_verb,0.0,182.0,5.0,17.33459779091822,28.47100723119705
word_count,0.0,1118.0,46.0,138.05522704451636,200.42886724721092
sentence_count,0.0,79.0,2.0,7.001896686377329,10.722561645789199
keyword_title_cosine,0.0,1.0000000000000002,0.2816412493743718,0.2864416504558214,0.22946012397264168
keyword_decription_cosine,0.0,1.0000000000000002,0.0466145246731609,0.09099144380403648,0.1187262575998304
channelSubscriberCount,0.0,29566530.0,1095.5,171414.93837910247,995882.4189945762
channelViewCount,0.0,15639262119.0,369957.0,63258519.26769368,448331620.75573355
channelCommentCount,0.0,104922.0,0.0,131.14869390488948,1786.0648996059815
channelVideoCount,1.0,1013672.0,196.0,6994.965840589417,43204.56913516106
video_duration,1.0,29014.0,213.0,467.69072855070846,911.3082853639299
likeCount,0.0,2422615.0,7.0,1774.1218342072966,42422.30693849686
dislikeCount,0.0,212994.0,0.0,109.17806537989513,2920.916935333189
viewCount,0.0,369970829.0,1554.0,224058.41704786345,5015320.642139388
comment_title_cosine,0.0,14.108711835034134,0.0,0.45756210059134644,1.085696533960443
comment_description_cosine,0.0,15.59854958867464,0.0,0.7703539771186652,1.8830045407637321
commentCount,0.0,319810.0,1.0,164.1699207854513,4094.6214879077324
postive_comment_count,0.0,93.0,0.0,6.88039718844137,15.387387005026127
negative_comment_count,0.0,73.0,0.0,2.625013946223363,6.834142072403472
neutral_comment_count,0.0,100.0,0.0,4.092379783554613,11.187291491260234
comment_unique_words,0.0,5647.0,2.0,282.6271337721745,662.9509563527446
comment_total_words,0.0,9112.0,2.0,363.2165569563762,884.3184136710878
