,min,max,median,mean,std
ARI_info_0,0.0,398.2161160151324,13.976547619047622,17.655153744703707,29.65417251766721
ARI_info_1,-4.370000000000001,341.25593373493973,12.450606060606065,14.943442396441293,19.626536857742273
FleshReadingEase_info_0,-742.5094325346784,154.06206896551726,48.7787931034483,44.47711690530646,65.13493277004319
FleshReadingEase_info_1,-663.9728915662649,205.82,51.65113636363637,46.38524568504451,48.138392079072446
Kincaid_info_0,-2.229999999999998,313.82779319041623,11.644117647058824,14.160599137728024,23.483124301069257
Kincaid_info_1,-15.2,270.82632530120486,10.805750964250766,12.21697855556152,15.661969498783517
word_unique_info_0,0.0,387.0,103.0,131.2944162436548,92.76415464515343
word_unique_info_1,0.0,409.0,125.0,141.48218527315913,103.60689345963456
transition_words_info_0,0.0,18.0,4.0,4.725888324873097,3.47821057789774
transition_words_info_1,0.0,20.0,4.0,5.14251781472684,3.933812197782194
summary_words_info_0,0.0,1.0,0.0,0.01015228426395939,0.10050117857650091
summary_words_info_1,0.0,1.0,0.0,0.019002375296912115,0.13669553409663235
active_verb_info_0,0.0,182.0,17.0,30.629441624365484,34.41596903599586
active_verb_info_1,0.0,163.0,20.0,33.01187648456057,35.38768082046878
word_count_info_0,0.0,855.0,144.0,236.248730964467,218.85274627464185
word_count_info_1,0.0,951.0,185.0,256.03087885985747,234.73913889664854
sentence_count_info_0,0.0,49.0,6.0,10.609137055837563,10.680638489212258
sentence_count_info_1,0.0,79.0,8.0,13.106888361045131,13.698817295469341
keyword_title_cosine_info_0,0.0,1.0000000000000002,0.2609463102528732,0.26667318847152777,0.23035769485727497
keyword_title_cosine_info_1,0.0,1.0000000000000002,0.152509876683595,0.20997626370167832,0.21770747333358648
keyword_decription_cosine_info_0,0.0,0.5239662362722108,0.089440976512245,0.09671390435035787,0.09699461267604247
keyword_decription_cosine_info_1,0.0,0.8172446587285709,0.0511873586041359,0.0807874120095067,0.09617197466420785
channelSubscriberCount_info_0,0.0,11451418.0,8527.0,598031.3654822335,1945613.602904888
channelSubscriberCount_info_1,0.0,11451281.0,36899.0,777444.7767220903,1925788.2866384964
channelViewCount_info_0,526.0,8662169104.0,2332133.0,228396589.68020305,889644640.6639597
channelViewCount_info_1,217.0,8662169104.0,8075457.0,211235584.02375296,680953542.2039621
channelCommentCount_info_0,0.0,62166.0,0.0,767.7614213197969,5628.362195071695
channelCommentCount_info_1,0.0,21181.0,0.0,762.3087885985748,3438.121024026227
channelVideoCount_info_0,1.0,109030.0,494.0,5496.177664974619,17496.303730459134
channelVideoCount_info_1,1.0,140109.0,414.0,4570.90973871734,16259.329770097716
video_duration_info_0,60.0,3711.0,272.0,436.60913705583755,503.48649184174616
video_duration_info_1,60.0,6502.0,325.0,563.8028503562946,780.7998838745577
likeCount_info_0,0.0,252325.0,15.0,4641.563451776649,23950.490260251725
likeCount_info_1,0.0,64266.0,110.0,2725.9477434679334,8304.32962158472
dislikeCount_info_0,0.0,18206.0,1.0,253.0253807106599,1536.442662605729
dislikeCount_info_1,0.0,4791.0,5.0,116.1520190023753,440.3948019642198
viewCount_info_0,4.0,46618529.0,3148.0,523467.78680203046,3531059.7391720437
viewCount_info_1,5.0,6485312.0,20273.0,263201.89073634206,754929.6209373348
comment_title_cosine_info_0,0.0,9.750445273165072,0.0,0.9099923459123948,1.7886367742415628
comment_title_cosine_info_1,0.0,12.980845483969809,0.2167796326725878,1.0276825630290791,1.6637988213729709
comment_description_cosine_info_0,0.0,14.730721892795724,0.0470131043539383,1.6571563200488646,3.256100551721574
comment_description_cosine_info_1,0.0,13.571818041275792,0.5363082220678032,2.0577221277265867,2.8909766462860933
commentCount_info_0,0.0,19575.0,1.0,466.55837563451774,2195.4239474586448
commentCount_info_1,0.0,10151.0,8.0,299.31353919239905,1114.4918088237803
postive_comment_count_info_0,0.0,90.0,0.0,12.715736040609137,22.836606982224442
postive_comment_count_info_1,0.0,80.0,3.0,16.228028503562946,21.681026885695086
negative_comment_count_info_0,0.0,39.0,0.0,4.959390862944162,9.635625628868736
negative_comment_count_info_1,0.0,53.0,1.0,6.016627078384798,9.987955080573336
neutral_comment_count_info_0,0.0,90.0,0.0,6.147208121827411,13.060442487985409
neutral_comment_count_info_1,0.0,52.0,1.0,6.501187648456057,9.998243822717754
comment_unique_words_info_0,0.0,5151.0,9.0,573.4670050761422,1053.7169900306485
comment_unique_words_info_1,0.0,4786.0,115.0,658.9857482185273,1010.0662801383845
comment_total_words_info_0,0.0,7681.0,9.0,749.5380710659898,1424.2216903586664
comment_total_words_info_1,0.0,7211.0,142.0,854.9382422802851,1366.8677265526424
